City,Property Type,Period Begin,Period End
Seattle,Multi-Family (2-4 Unit),11/1/2019,11/30/2019
Seattle,Single Family Residential,11/1/2019,11/30/2019
Seattle,Townhouse,11/1/2019,11/30/2019
Olympia,All Residential,11/1/2019,11/30/2019
Olympia,Condo/Co-op,11/1/2019,11/30/2019
Olympia,Multi-Family (2-4 Unit),11/1/2019,11/30/2019
Olympia,Single Family Residential,11/1/2019,11/30/2019
Olympia,Townhouse,11/1/2019,11/30/2019
Sammamish,All Residential,11/1/2019,11/30/2019
Sammamish,Condo/Co-op,11/1/2019,11/30/2019
Sammamish,Multi-Family (2-4 Unit),11/1/2019,11/30/2019
Sammamish,Single Family Residential,11/1/2019,11/30/2019
Sammamish,Townhouse,11/1/2019,11/30/2019
Kenmore,All Residential,11/1/2019,11/30/2019
Kenmore,Condo/Co-op,11/1/2019,11/30/2019
Kenmore,Multi-Family (2-4 Unit),11/1/2019,11/30/2019
Kenmore,Single Family Residential,11/1/2019,11/30/2019
Kenmore,Townhouse,11/1/2019,11/30/2019
Redmond,All Residential,12/1/2019,12/31/2019
Redmond,Condo/Co-op,12/1/2019,12/31/2019
Redmond,Multi-Family (2-4 Unit),12/1/2019,12/31/2019
Redmond,Single Family Residential,12/1/2019,12/31/2019
Redmond,Townhouse,12/1/2019,12/31/2019
Mercer Island,All Residential,12/1/2019,12/31/2019
Mercer Island,Condo/Co-op,12/1/2019,12/31/2019
Mercer Island,Multi-Family (2-4 Unit),12/1/2019,12/31/2019
Mercer Island,Single Family Residential,12/1/2019,12/31/2019
Mercer Island,Townhouse,12/1/2019,12/31/2019
Tacoma,All Residential,12/1/2019,12/31/2019
Tacoma,Condo/Co-op,12/1/2019,12/31/2019
Tacoma,Multi-Family (2-4 Unit),12/1/2019,12/31/2019
Tacoma,Single Family Residential,12/1/2019,12/31/2019
Tacoma,Townhouse,12/1/2019,12/31/2019
Bothell,All Residential,12/1/2019,12/31/2019
Bothell,Condo/Co-op,12/1/2019,12/31/2019
Bothell,Multi-Family (2-4 Unit),12/1/2019,12/31/2019
Bothell,Single Family Residential,12/1/2019,12/31/2019
Bothell,Townhouse,12/1/2019,12/31/2019
Snoqualmie,All Residential,12/1/2019,12/31/2019
Snoqualmie,Condo/Co-op,12/1/2019,12/31/2019
Snoqualmie,Multi-Family (2-4 Unit),12/1/2019,12/31/2019
Snoqualmie,Single Family Residential,12/1/2019,12/31/2019
Snoqualmie,Townhouse,12/1/2019,12/31/2019
Bellevue,All Residential,12/1/2019,12/31/2019
Bellevue,Condo/Co-op,12/1/2019,12/31/2019
Bellevue,Multi-Family (2-4 Unit),12/1/2019,12/31/2019
Bellevue,Single Family Residential,12/1/2019,12/31/2019
Bellevue,Townhouse,12/1/2019,12/31/2019
Kent,All Residential,12/1/2019,12/31/2019
Kent,Condo/Co-op,12/1/2019,12/31/2019
Kent,Multi-Family (2-4 Unit),12/1/2019,12/31/2019
Kent,Single Family Residential,12/1/2019,12/31/2019
Kent,Townhouse,12/1/2019,12/31/2019
Kirkland,All Residential,12/1/2019,12/31/2019
Kirkland,Condo/Co-op,12/1/2019,12/31/2019
Kirkland,Multi-Family (2-4 Unit),12/1/2019,12/31/2019
Kirkland,Single Family Residential,12/1/2019,12/31/2019
Kirkland,Townhouse,12/1/2019,12/31/2019
Issaquah,All Residential,12/1/2019,12/31/2019
Issaquah,Condo/Co-op,12/1/2019,12/31/2019
Issaquah,Multi-Family (2-4 Unit),12/1/2019,12/31/2019
Issaquah,Single Family Residential,12/1/2019,12/31/2019
Issaquah,Townhouse,12/1/2019,12/31/2019
Seattle,All Residential,12/1/2019,12/31/2019
Seattle,Condo/Co-op,12/1/2019,12/31/2019
Seattle,Multi-Family (2-4 Unit),12/1/2019,12/31/2019
Seattle,Single Family Residential,12/1/2019,12/31/2019
Seattle,Townhouse,12/1/2019,12/31/2019
